,Year,Nation,Pollutant,µg/m3
124,2017,Belgium,Particulates < 2.5µm,12.8
125,2017,Belgium,Particulates < 10µm,20.4
126,2017,Bulgaria,Particulates < 2.5µm,23.8
127,2017,Bulgaria,Particulates < 10µm,36.8
128,2017,Czechia,Particulates < 2.5µm,18.4
129,2017,Czechia,Particulates < 10µm,23.9
130,2017,Denmark,Particulates < 2.5µm,9.2
131,2017,Denmark,Particulates < 10µm,15.5
132,2017,Germany (until 1990 former territory of the FRG),Particulates < 2.5µm,12.8
133,2017,Germany (until 1990 former territory of the FRG),Particulates < 10µm,17.6
134,2017,Estonia,Particulates < 2.5µm,5.3
135,2017,Estonia,Particulates < 10µm,10.7
136,2017,Ireland,Particulates < 2.5µm,8
137,2017,Ireland,Particulates < 10µm,11.5
138,2017,Greece,Particulates < 2.5µm,13.5
139,2017,Greece,Particulates < 10µm,25.3
140,2017,Spain,Particulates < 2.5µm,12.1
141,2017,Spain,Particulates < 10µm,22
142,2017,France,Particulates < 2.5µm,12
143,2017,France,Particulates < 10µm,19.1
144,2017,Croatia,Particulates < 2.5µm,19
145,2017,Croatia,Particulates < 10µm,35.1
146,2017,Italy,Particulates < 2.5µm,19.2
147,2017,Italy,Particulates < 10µm,29
148,2017,Cyprus,Particulates < 2.5µm,14.7
149,2017,Cyprus,Particulates < 10µm,29.2
150,2017,Latvia,Particulates < 2.5µm,13.6
151,2017,Latvia,Particulates < 10µm,17.2
152,2017,Lithuania,Particulates < 2.5µm,8.6
153,2017,Lithuania,Particulates < 10µm,22.8
154,2017,Luxembourg,Particulates < 2.5µm,13.2
155,2017,Luxembourg,Particulates < 10µm,22.5
156,2017,Hungary,Particulates < 2.5µm,20.9
157,2017,Hungary,Particulates < 10µm,26.5
158,2017,Malta,Particulates < 2.5µm,
159,2017,Malta,Particulates < 10µm,
160,2017,Netherlands,Particulates < 2.5µm,11.3
161,2017,Netherlands,Particulates < 10µm,19.2
162,2017,Austria,Particulates < 2.5µm,14.1
163,2017,Austria,Particulates < 10µm,19.1
164,2017,Poland,Particulates < 2.5µm,24.1
165,2017,Poland,Particulates < 10µm,32.5
166,2017,Portugal,Particulates < 2.5µm,12
167,2017,Portugal,Particulates < 10µm,18.5
168,2017,Romania,Particulates < 2.5µm,20.4
169,2017,Romania,Particulates < 10µm,26.6
170,2017,Slovenia,Particulates < 2.5µm,19.7
171,2017,Slovenia,Particulates < 10µm,24.8
172,2017,Slovakia,Particulates < 2.5µm,17.5
173,2017,Slovakia,Particulates < 10µm,24.2
174,2017,Finland,Particulates < 2.5µm,4.9
175,2017,Finland,Particulates < 10µm,10
176,2017,Sweden,Particulates < 2.5µm,5.4
177,2017,Sweden,Particulates < 10µm,11.8
178,2017,Iceland,Particulates < 2.5µm,6.2
179,2017,Iceland,Particulates < 10µm,14.8
180,2017,Norway,Particulates < 2.5µm,7
181,2017,Norway,Particulates < 10µm,11.6
182,2017,Switzerland,Particulates < 2.5µm,10
183,2017,Switzerland,Particulates < 10µm,15.3
184,2017,United Kingdom,Particulates < 2.5µm,9.9
185,2017,United Kingdom,Particulates < 10µm,15.6
186,2018,Belgium,Particulates < 2.5µm,12.8
187,2018,Belgium,Particulates < 10µm,21.5
188,2018,Bulgaria,Particulates < 2.5µm,20.1
189,2018,Bulgaria,Particulates < 10µm,33.8
190,2018,Czechia,Particulates < 2.5µm,19.5
191,2018,Czechia,Particulates < 10µm,25.8
192,2018,Denmark,Particulates < 2.5µm,12
193,2018,Denmark,Particulates < 10µm,18.3
194,2018,Germany (until 1990 former territory of the FRG),Particulates < 2.5µm,13.1
195,2018,Germany (until 1990 former territory of the FRG),Particulates < 10µm,18.8
196,2018,Estonia,Particulates < 2.5µm,6.3
197,2018,Estonia,Particulates < 10µm,13.3
198,2018,Ireland,Particulates < 2.5µm,8.8
199,2018,Ireland,Particulates < 10µm,13.3
200,2018,Greece,Particulates < 2.5µm,13.4
201,2018,Greece,Particulates < 10µm,27.1
202,2018,Spain,Particulates < 2.5µm,11.7
203,2018,Spain,Particulates < 10µm,19.8
204,2018,France,Particulates < 2.5µm,11.7
205,2018,France,Particulates < 10µm,18.3
206,2018,Croatia,Particulates < 2.5µm,20.3
207,2018,Croatia,Particulates < 10µm,33.8
208,2018,Italy,Particulates < 2.5µm,16
209,2018,Italy,Particulates < 10µm,26.1
210,2018,Cyprus,Particulates < 2.5µm,13.2
211,2018,Cyprus,Particulates < 10µm,29.9
212,2018,Latvia,Particulates < 2.5µm,16.1
213,2018,Latvia,Particulates < 10µm,23.3
214,2018,Lithuania,Particulates < 2.5µm,8.5
215,2018,Lithuania,Particulates < 10µm,20
216,2018,Luxembourg,Particulates < 2.5µm,11.1
217,2018,Luxembourg,Particulates < 10µm,21.1
218,2018,Hungary,Particulates < 2.5µm,17.7
219,2018,Hungary,Particulates < 10µm,27.6
220,2018,Malta,Particulates < 2.5µm,
221,2018,Malta,Particulates < 10µm,
222,2018,Netherlands,Particulates < 2.5µm,11.8
223,2018,Netherlands,Particulates < 10µm,20.2
224,2018,Austria,Particulates < 2.5µm,15.5
225,2018,Austria,Particulates < 10µm,21.8
226,2018,Poland,Particulates < 2.5µm,24.3
227,2018,Poland,Particulates < 10µm,33.2
228,2018,Portugal,Particulates < 2.5µm,10.8
229,2018,Portugal,Particulates < 10µm,18.8
230,2018,Romania,Particulates < 2.5µm,20
231,2018,Romania,Particulates < 10µm,26.4
232,2018,Slovenia,Particulates < 2.5µm,18.3
233,2018,Slovenia,Particulates < 10µm,24.1
234,2018,Slovakia,Particulates < 2.5µm,16.9
235,2018,Slovakia,Particulates < 10µm,24.8
236,2018,Finland,Particulates < 2.5µm,6.4
237,2018,Finland,Particulates < 10µm,11.5
238,2018,Sweden,Particulates < 2.5µm,6.2
239,2018,Sweden,Particulates < 10µm,13.1
240,2018,Iceland,Particulates < 2.5µm,6.2
241,2018,Iceland,Particulates < 10µm,11.3
242,2018,Norway,Particulates < 2.5µm,6.1
243,2018,Norway,Particulates < 10µm,13.5
244,2018,Switzerland,Particulates < 2.5µm,11.1
245,2018,Switzerland,Particulates < 10µm,15.4
246,2018,United Kingdom,Particulates < 2.5µm,10.1
247,2018,United Kingdom,Particulates < 10µm,15.5
248,2019,Belgium,Particulates < 2.5µm,11.1
249,2019,Belgium,Particulates < 10µm,18.9
250,2019,Bulgaria,Particulates < 2.5µm,19.6
251,2019,Bulgaria,Particulates < 10µm,30.4
252,2019,Czechia,Particulates < 2.5µm,14.4
253,2019,Czechia,Particulates < 10µm,20.3
254,2019,Denmark,Particulates < 2.5µm,10
255,2019,Denmark,Particulates < 10µm,16.5
256,2019,Germany (until 1990 former territory of the FRG),Particulates < 2.5µm,10.9
257,2019,Germany (until 1990 former territory of the FRG),Particulates < 10µm,16.1
258,2019,Estonia,Particulates < 2.5µm,4.8
259,2019,Estonia,Particulates < 10µm,10.8
260,2019,Ireland,Particulates < 2.5µm,8.8
261,2019,Ireland,Particulates < 10µm,12.7
262,2019,Greece,Particulates < 2.5µm,14.1
263,2019,Greece,Particulates < 10µm,27.5
264,2019,Spain,Particulates < 2.5µm,11.8
265,2019,Spain,Particulates < 10µm,19.4
266,2019,France,Particulates < 2.5µm,10.4
267,2019,France,Particulates < 10µm,17.4
268,2019,Croatia,Particulates < 2.5µm,16
269,2019,Croatia,Particulates < 10µm,30.9
270,2019,Italy,Particulates < 2.5µm,15.1
271,2019,Italy,Particulates < 10µm,25.5
272,2019,Cyprus,Particulates < 2.5µm,13.4
273,2019,Cyprus,Particulates < 10µm,26
274,2019,Latvia,Particulates < 2.5µm,12.1
275,2019,Latvia,Particulates < 10µm,20.2
276,2019,Lithuania,Particulates < 2.5µm,11.1
277,2019,Lithuania,Particulates < 10µm,21.9
278,2019,Luxembourg,Particulates < 2.5µm,10.2
279,2019,Luxembourg,Particulates < 10µm,20.3
280,2019,Hungary,Particulates < 2.5µm,14.4
281,2019,Hungary,Particulates < 10µm,24.4
282,2019,Malta,Particulates < 2.5µm,
283,2019,Malta,Particulates < 10µm,
284,2019,Netherlands,Particulates < 2.5µm,10.4
285,2019,Netherlands,Particulates < 10µm,19.1
286,2019,Austria,Particulates < 2.5µm,12
287,2019,Austria,Particulates < 10µm,17.4
288,2019,Poland,Particulates < 2.5µm,19.3
289,2019,Poland,Particulates < 10µm,27
290,2019,Portugal,Particulates < 2.5µm,9.1
291,2019,Portugal,Particulates < 10µm,18.6
292,2019,Romania,Particulates < 2.5µm,16.4
293,2019,Romania,Particulates < 10µm,25.6
294,2019,Slovenia,Particulates < 2.5µm,15.3
295,2019,Slovenia,Particulates < 10µm,20.4
296,2019,Slovakia,Particulates < 2.5µm,13.8
297,2019,Slovakia,Particulates < 10µm,21
298,2019,Finland,Particulates < 2.5µm,5.1
299,2019,Finland,Particulates < 10µm,10.2
300,2019,Sweden,Particulates < 2.5µm,5.8
301,2019,Sweden,Particulates < 10µm,12.3
302,2019,Iceland,Particulates < 2.5µm,5.9
303,2019,Iceland,Particulates < 10µm,10.6
304,2019,Norway,Particulates < 2.5µm,6.5
305,2019,Norway,Particulates < 10µm,11.8
306,2019,Switzerland,Particulates < 2.5µm,9.2
307,2019,Switzerland,Particulates < 10µm,13.6
308,2019,United Kingdom,Particulates < 2.5µm,10.2
309,2019,United Kingdom,Particulates < 10µm,15.3
